protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,246.250.53.180,58652,11.11.189.17,80,1078,Yes
TCP,88.160.250.173,39233,11.11.154.85,80,54,No
TCP,243.188.93.51,28736,11.11.117.147,80,54,No
TCP,153.79.125.106,47690,11.11.145.83,80,54,No
TCP,187.166.159.177,47191,11.11.238.132,80,1078,Yes
TCP,154.101.194.177,1760,11.11.179.97,80,54,No
TCP,119.126.114.242,43619,11.11.244.70,80,1078,Yes
TCP,203.210.234.203,10404,11.11.145.36,80,54,No
TCP,95.95.99.53,61780,11.11.143.80,80,54,No
TCP,164.85.71.30,9110,11.11.53.132,80,54,No
TCP,160.188.216.209,35781,11.11.80.209,80,1078,Yes
TCP,14.97.223.99,42134,11.11.27.91,80,54,No
TCP,171.182.67.4,9901,11.11.107.136,80,1078,Yes
TCP,119.21.243.135,1532,11.11.13.23,80,1078,Yes
TCP,109.46.55.128,28278,11.11.252.13,80,1078,Yes
TCP,125.100.52.219,26294,11.11.232.186,80,54,No
TCP,193.208.69.157,64740,11.11.204.162,80,1078,Yes
TCP,96.44.67.19,1671,11.11.101.24,80,54,No
TCP,195.124.120.23,60946,11.11.88.96,80,1078,Yes
TCP,215.240.167.98,2005,11.11.70.14,80,54,No
TCP,12.85.1.11,50496,11.11.94.101,80,1078,Yes
TCP,225.46.243.157,42934,11.11.169.244,80,1078,Yes
TCP,137.150.65.32,24384,11.11.65.8,80,54,No
TCP,213.192.176.59,6118,11.11.221.143,80,54,No
TCP,153.31.231.80,47802,11.11.196.182,80,54,No
TCP,95.129.8.151,49210,11.11.152.105,80,1078,Yes
TCP,35.181.111.4,40790,11.11.63.52,80,54,No
TCP,100.105.37.179,26973,11.11.101.244,80,1078,Yes
TCP,151.148.143.223,40024,11.11.176.36,80,1078,Yes
TCP,203.225.8.186,43701,11.11.31.7,80,1078,Yes
TCP,243.31.149.51,54640,11.11.14.228,80,1078,Yes
TCP,242.42.112.135,31147,11.11.255.120,80,1078,Yes
TCP,39.12.143.245,36004,11.11.92.156,80,1078,Yes
TCP,97.127.68.123,46706,11.11.47.154,80,54,No
TCP,0.153.55.198,61284,11.11.219.43,80,1078,Yes
TCP,123.108.92.229,48395,11.11.206.27,80,1078,Yes
TCP,216.10.153.240,10363,11.11.109.41,80,54,No
TCP,215.27.191.91,37751,11.11.250.103,80,54,No
TCP,84.136.197.162,39271,11.11.193.212,80,1078,Yes
TCP,237.43.97.22,32459,11.11.237.166,80,1078,Yes
TCP,65.130.27.23,17836,11.11.229.229,80,1078,Yes
TCP,213.59.74.171,7760,11.11.216.234,80,1078,Yes
TCP,40.153.23.74,45413,11.11.134.175,80,54,No
TCP,145.41.192.148,29317,11.11.212.9,80,54,No
TCP,251.192.110.216,42515,11.11.161.253,80,54,No
TCP,200.40.116.214,26443,11.11.190.143,80,1078,Yes
TCP,194.110.117.134,42115,11.11.2.173,80,1078,Yes
TCP,94.116.192.62,23926,11.11.194.21,80,54,No
TCP,211.215.164.122,48794,11.11.10.233,80,54,No
TCP,123.250.27.2,60915,11.11.164.26,80,1078,Yes
TCP,91.221.230.26,58816,11.11.182.219,80,54,No
TCP,164.134.136.129,21758,11.11.187.39,80,1078,Yes
TCP,247.200.146.158,13320,11.11.223.135,80,54,No
