protocol,src_addr,src_port,dst_addr,dst_port
TCP,28.170.134.29,11600,12.12.72.244,80
TCP,251.113.225.77,27891,12.12.162.132,80
TCP,22.237.184.160,30292,12.12.171.79,80
TCP,151.69.244.223,11375,12.12.137.249,80
TCP,105.70.26.230,5515,12.12.174.16,80
TCP,141.199.129.210,33475,12.12.165.76,80
TCP,202.19.46.60,51654,12.12.185.205,80
TCP,108.249.15.16,18135,12.12.86.162,80
TCP,86.95.104.163,6972,12.12.134.177,80
TCP,26.234.39.251,56402,12.12.164.220,80
TCP,157.112.163.62,9260,12.12.175.8,80
TCP,107.175.122.7,43043,12.12.62.212,80
TCP,12.19.82.29,33417,12.12.54.120,80
TCP,216.189.20.65,49367,12.12.244.46,80
TCP,89.195.32.39,34121,12.12.133.39,80
TCP,2.12.163.133,37985,12.12.183.188,80
TCP,162.36.248.91,12960,12.12.181.30,80
TCP,100.123.74.130,8158,12.12.97.193,80
TCP,147.57.192.153,53506,12.12.9.198,80
TCP,169.115.127.169,22841,12.12.137.179,80
TCP,125.212.169.228,63265,10.10.28.250,80
TCP,141.5.131.144,55830,10.10.58.59,80
TCP,202.86.16.246,16568,10.10.84.77,80
TCP,137.15.66.98,10023,10.10.15.140,80
TCP,255.37.149.251,32888,10.10.151.27,80
TCP,1.133.172.26,24530,10.10.235.237,80
TCP,172.184.239.242,34468,10.10.103.108,80
TCP,98.161.169.188,10975,10.10.121.187,80
TCP,233.32.42.232,11826,10.10.126.174,80
TCP,52.255.31.148,21347,10.10.102.188,80
TCP,144.183.219.213,1816,11.11.6.185,80
TCP,244.146.73.120,31640,11.11.192.92,80
TCP,206.118.131.126,53439,11.11.149.0,80
TCP,249.215.54.243,44075,11.11.116.194,80
TCP,12.2.167.187,11380,11.11.158.226,80
TCP,33.242.104.107,15934,11.11.186.115,80
TCP,159.42.97.192,7003,11.11.117.254,80
TCP,255.73.255.179,24982,11.11.232.196,80
TCP,102.235.204.93,2049,11.11.128.120,80
TCP,154.169.174.49,47707,11.11.172.142,80
TCP,105.15.212.252,10603,12.12.161.61,80
TCP,105.15.212.252,10603,12.12.161.61,80
TCP,112.215.72.228,57078,12.12.196.53,80
TCP,112.215.72.228,57078,12.12.196.53,80
TCP,82.156.22.126,34069,12.12.29.253,80
TCP,82.156.22.126,34069,12.12.29.253,80
TCP,171.38.118.165,50151,12.12.53.227,80
TCP,171.38.118.165,50151,12.12.53.227,80
TCP,35.178.136.202,33825,12.12.216.78,80
TCP,35.178.136.202,33825,12.12.216.78,80
TCP,16.134.81.229,60386,12.12.104.242,80
TCP,16.134.81.229,60386,12.12.104.242,80
TCP,119.101.200.253,40160,12.12.252.158,80
TCP,119.101.200.253,40160,12.12.252.158,80
TCP,76.229.65.11,27086,12.12.26.241,80
TCP,76.229.65.11,27086,12.12.26.241,80
TCP,5.122.21.58,10907,12.12.222.183,80
TCP,5.122.21.58,10907,12.12.222.183,80
TCP,22.70.187.181,21688,12.12.199.166,80
TCP,22.70.187.181,21688,12.12.199.166,80
TCP,1.9.22.62,12083,20.20.20.147,80
TCP,46.36.62.123,18828,20.20.20.54,80
TCP,136.130.159.28,37620,20.20.20.68,80
TCP,123.169.27.178,19344,20.20.20.67,80
TCP,39.95.21.36,12177,20.20.20.238,80
TCP,102.28.181.186,19030,20.20.20.85,80
TCP,79.178.131.35,31009,20.20.20.190,80
TCP,6.176.4.128,31471,20.20.20.19,80
TCP,255.247.22.97,39495,20.20.20.122,80
TCP,231.55.189.214,30220,20.20.20.115,80
