protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,96.219.128.230,52236,12.12.138.66,80,1254,Yes
TCP,218.179.119.3,11261,12.12.230.72,80,1254,Yes
TCP,91.200.221.54,50967,12.12.113.97,80,1254,Yes
TCP,255.222.105.48,30958,12.12.69.72,80,1254,Yes
TCP,128.25.227.180,25211,12.12.62.178,80,1254,Yes
TCP,21.181.29.1,42601,12.12.132.9,80,1254,Yes
TCP,229.250.6.71,17693,12.12.52.86,80,1254,Yes
TCP,101.90.250.178,49323,12.12.128.108,80,1254,Yes
TCP,141.24.123.191,47293,12.12.101.192,80,1254,Yes
TCP,251.245.138.69,31951,12.12.59.215,80,1254,Yes
TCP,146.87.164.246,48341,12.12.87.87,80,1254,Yes
TCP,58.144.12.47,62738,12.12.115.61,80,1254,Yes
TCP,26.197.248.237,26109,12.12.148.150,80,1254,Yes
TCP,217.66.110.19,29719,12.12.87.29,80,1254,Yes
TCP,210.239.208.246,32043,12.12.47.108,80,1254,Yes
TCP,107.63.220.221,29108,12.12.212.180,80,1254,Yes
TCP,27.80.15.138,44174,12.12.127.163,80,1254,Yes
TCP,141.150.178.170,60383,12.12.67.211,80,1254,Yes
TCP,75.237.201.241,55196,12.12.69.168,80,1254,Yes
TCP,251.31.43.41,59079,12.12.16.174,80,1254,Yes
TCP,16.118.160.31,1904,10.10.90.187,80,1254,Yes
TCP,28.192.218.131,62295,10.10.31.66,80,1254,Yes
TCP,56.50.192.158,19933,10.10.69.246,80,1254,Yes
TCP,99.50.23.2,11558,10.10.15.208,80,1254,Yes
TCP,112.148.203.219,13653,10.10.121.26,80,1254,Yes
TCP,172.73.15.190,10896,10.10.214.111,80,1254,Yes
TCP,199.35.64.209,5324,10.10.163.205,80,1254,Yes
TCP,137.80.215.181,53143,10.10.102.85,80,1254,Yes
TCP,123.224.226.76,18886,10.10.197.42,80,1254,Yes
TCP,210.97.20.226,11166,10.10.242.246,80,1254,Yes
TCP,26.243.158.226,2395,11.11.141.70,80,1254,Yes
TCP,86.226.119.191,38781,11.11.3.100,80,1254,Yes
TCP,5.41.184.244,63056,11.11.104.174,80,1254,Yes
TCP,200.191.246.112,57840,11.11.241.250,80,1254,Yes
TCP,32.186.104.154,25122,11.11.202.22,80,1254,Yes
TCP,254.93.123.15,10123,11.11.93.227,80,1254,Yes
TCP,5.241.218.182,13672,11.11.30.161,80,1254,Yes
TCP,116.47.136.78,61708,11.11.104.36,80,1254,Yes
TCP,181.215.151.33,37698,11.11.124.62,80,1254,Yes
TCP,184.153.109.235,23555,11.11.75.72,80,1254,Yes
TCP,25.217.157.18,16446,12.12.6.181,80,1254,Yes
TCP,25.217.157.18,16446,12.12.6.181,80,1254,Yes
TCP,61.250.141.201,54052,12.12.199.222,80,1254,Yes
TCP,61.250.141.201,54052,12.12.199.222,80,1254,Yes
TCP,7.65.34.71,41720,12.12.64.129,80,1254,Yes
TCP,7.65.34.71,41720,12.12.64.129,80,1254,Yes
TCP,41.55.192.147,58190,12.12.224.218,80,1254,Yes
TCP,41.55.192.147,58190,12.12.224.218,80,1254,Yes
TCP,24.215.62.106,46555,12.12.121.223,80,1254,Yes
TCP,24.215.62.106,46555,12.12.121.223,80,1254,Yes
TCP,233.195.239.255,63228,12.12.250.30,80,1254,Yes
TCP,233.195.239.255,63228,12.12.250.30,80,1254,Yes
TCP,186.173.218.145,49955,12.12.240.21,80,1254,Yes
TCP,186.173.218.145,49955,12.12.240.21,80,1254,Yes
TCP,64.24.142.2,60950,12.12.132.203,80,1254,Yes
TCP,64.24.142.2,60950,12.12.132.203,80,1254,Yes
TCP,224.82.234.36,37906,12.12.255.101,80,1254,Yes
TCP,224.82.234.36,37906,12.12.255.101,80,1254,Yes
TCP,182.9.154.103,21900,12.12.98.238,80,1254,Yes
TCP,182.9.154.103,21900,12.12.98.238,80,1254,Yes
TCP,223.84.188.38,51360,20.20.20.85,80,1254,Yes
TCP,149.26.79.60,37607,20.20.20.197,80,1254,Yes
TCP,124.171.101.80,6449,20.20.20.108,80,1254,Yes
TCP,113.103.172.34,24365,20.20.20.102,80,1254,Yes
TCP,214.23.18.31,16285,20.20.20.9,80,1254,Yes
TCP,204.156.233.58,23827,20.20.20.152,80,1254,Yes
TCP,48.205.128.80,37747,20.20.20.238,80,1254,Yes
TCP,41.193.185.107,49710,20.20.20.218,80,1254,Yes
TCP,25.191.222.70,49720,20.20.20.105,80,1254,Yes
TCP,213.12.106.187,13687,20.20.20.101,80,1254,Yes
